81	83	82	97	91
81	96	90	73	71
72	82	93	74	100
98	75	93	83	76
87	81	93	88	96
89	75	74	88	81
82	72	74	91	75
88	84	92	90	77
98	84	95	94	75
82	93	92	83	90
100	76	97	83	97
98	85	90	81	86
80	84	97	76	74
100	81	74	73	91
82	83	76	70	75
71	86	93	96	87
70	83	76	86	91
98	79	81	71	88
100	95	73	83	90
89	89	89	79	80
81	77	100	98	83
70	88	87	71	90
79	75	90	93	81
83	88	94	98	74
78	70	79	70	91
72	93	95	72	83
95	99	92	80	87
73	95	88	90	73
70	79	85	70	72
72	96	96	87	93
74	75	94	78	77
71	76	74	96	79
83	83	95	79	74
97	96	82	74	90
93	98	93	75	99
96	86	81	88	83
95	87	78	87	84
96	81	70	70	80
72	93	85	77	87
100	72	88	87	84
81	77	77	94	78
98	76	72	76	89
100	75	73	78	90
77	77	95	73	76
84	76	90	90	77
86	98	82	71	99
70	86	73	74	90
97	78	71	86	73
87	95	97	78	82
95	96	79	77	87
88	89	98	92	83
77	87	78	75	71
95	72	100	91	82
83	85	82	75	88
95	73	72	77	95
70	86	72	71	75
85	70	95	83	71
94	93	91	82	97
97	79	98	72	80
85	82	91	87	91
98	82	96	99	83
74	76	87	94	73
90	73	89	78	95
90	100	90	81	95
72	76	77	86	76
80	82	77	75	85
88	92	98	82	93
75	70	75	90	84
96	84	75	80	100
100	70	94	74	78
90	76	74	72	71
73	100	73	78	95
73	99	83	79	94
76	92	92	82	74
72	80	87	95	89
94	77	73	88	85
96	75	96	82	77
95	77	97	98	70
79	99	95	85	76
84	77	100	91	91
97	73	94	79	88
84	88	100	75	97
97	93	83	88	100
74	74	84	91	92
79	70	90	95	70
97	100	100	80	86
84	83	85	84	81
78	87	100	90	90
86	70	81	70	94
92	94	72	74	70
100	81	87	75	73
84	92	96	76	70
83	90	72	99	73
100	87	99	97	72
87	92	74	72	79
88	83	89	81	97
83	87	78	94	82
75	94	74	84	85
95	95	88	85	91
72	91	96	79	95
81	93	94	71	83
95	81	97	85	85
87	87	80	98	89
93	77	90	79	90
82	74	81	83	86
79	98	83	97	74
88	77	99	87	99
78	84	76	92	98
79	80	83	77	76
77	93	71	75	83
88	88	77	71	74
85	88	96	70	99
77	97	80	78	88
84	90	99	83	98
95	70	98	76	89
91	77	89	86	84
100	78	81	96	76
89	87	96	70	79
75	86	97	81	91
82	83	87	82	77
99	84	70	70	96
78	70	87	100	73
70	82	75	72	77
100	99	74	88	71
92	99	96	75	90
71	77	88	93	87
79	80	90	73	73
98	84	89	89	82
92	91	83	84	91
81	85	82	76	88
70	96	80	74	83
83	76	74	86	100
82	86	73	83	89
96	89	100	95	97
79	80	93	72	89
83	100	95	89	99
74	97	90	95	82
91	97	71	74	87
70	98	70	75	95
86	92	70	83	95
82	80	98	92	92
78	71	79	81	99
95	89	97	88	91
93	81	98	76	71
96	86	96	70	96
81	94	99	84	99
96	80	73	86	79
71	97	80	96	99
71	99	84	76	76
73	96	97	96	75
93	95	100	90	93
77	76	81	82	97
88	80	84	97	81
72	100	98	96	93
86	84	100	89	91
93	93	90	71	90
99	97	99	83	98
88	83	86	78	92
79	100	93	76	73
84	99	89	71	74
77	100	97	71	92
85	100	78	85	78
89	91	91	88	90
82	77	70	80	71
89	97	92	75	72
75	99	73	97	74
90	70	82	90	97
95	77	88	89	83
84	82	92	98	90
92	89	93	78	81
97	72	99	77	88
88	100	76	97	96
96	78	89	83	82
85	86	82	72	88
71	74	79	72	82
82	88	98	95	91
98	91	75	89	80
80	75	86	82	74
80	83	87	91	97
82	79	85	87	79
90	73	99	93	95
71	82	71	87	97
70	70	77	78	72
81	80	70	70	86
84	96	75	70	98
100	76	90	72	90
80	81	70	79	72
92	99	77	71	80
98	96	71	100	85
77	84	79	90	87
93	100	79	76	94
72	92	92	78	93
94	93	77	74	83
90	94	77	77	90
96	94	94	97	73
80	98	84	76	84
76	71	86	88	97
97	94	78	99	84
84	85	87	91	83
87	82	99	87	88
