90;70;14;75;69
98;17;72;77;12
49;26;75;16;22
55;16;20;57;58
61;100;94;98;10
56;35;36;40;60
54;73;45;15;73
34;75;92;67;46
47;12;49;40;15
69;62;82;56;50
41;58;21;43;24
78;75;77;29;43
54;65;100;13;32
50;75;95;66;84
52;21;10;32;83
25;31;62;25;72
19;69;91;74;30
38;48;77;63;17
85;25;66;67;19
51;29;88;20;43
81;13;100;24;76
56;58;80;52;17
31;25;52;96;27
77;12;99;78;62
18;79;29;20;90
18;71;61;16;34
82;42;82;98;69
62;75;32;38;44
79;40;93;45;79
55;70;94;21;40
100;88;66;41;82
66;83;16;33;76
100;62;66;89;28
83;10;61;71;91
47;27;93;90;89
100;44;17;76;72
25;36;51;35;56
64;43;84;17;76
27;14;14;18;57
49;98;71;18;28
42;13;33;71;25
12;35;52;54;74
99;51;70;66;76
94;82;97;58;72
57;29;61;72;70
23;25;17;65;73
48;40;63;60;70
50;90;48;67;24
30;39;97;27;62
65;14;99;100;92
27;67;80;46;58
49;42;36;41;82
16;79;23;39;59
22;39;60;27;34
39;31;42;82;68
29;93;84;35;73
32;38;94;88;38
93;74;56;65;20
18;92;24;60;67
60;26;77;46;57
80;16;52;90;23
41;72;93;76;12
17;61;93;92;73
76;83;20;65;100
62;61;53;41;88
18;80;38;61;19
88;50;54;80;82
46;67;52;15;14
27;53;45;36;42
79;68;50;76;68
17;55;46;25;84
94;31;99;77;49
95;52;81;93;88
19;68;92;44;100
29;97;21;46;88
49;99;51;66;10
94;11;28;22;44
49;86;50;92;18
98;75;51;94;64
41;41;85;34;42
100;64;62;16;56
30;49;93;33;33
61;63;17;82;45
70;27;14;24;68
76;90;52;96;31
65;65;37;90;66
100;11;93;57;89
33;72;83;24;27
93;31;78;68;15
45;95;39;49;62
95;45;26;50;11
94;62;27;84;52
44;94;95;60;13
53;77;53;14;27
61;49;33;64;68
49;65;13;71;96
38;62;79;37;82
94;98;80;44;88
49;44;83;35;83
70;80;48;88;59
54;47;17;34;83
31;70;38;58;98
11;99;57;50;52
22;46;34;69;80
100;87;25;26;11
39;57;45;45;100
16;68;53;97;65
55;42;100;77;13
38;56;69;54;12
15;30;56;100;47
27;72;15;100;49
37;78;92;92;17
97;35;89;68;79
17;90;11;11;47
98;95;22;74;75
48;16;66;28;100
64;81;39;78;42
34;55;23;86;48
40;27;78;89;62
72;59;41;54;80
55;73;48;71;37
95;33;94;59;36
20;91;16;95;55
92;24;18;74;15
57;22;58;59;56
48;99;73;63;96
34;61;56;39;45
34;24;78;86;41
41;17;29;18;11
30;22;73;29;76
34;11;35;44;35
90;90;47;89;30
87;94;64;10;48
28;75;76;76;42
98;93;23;19;25
22;90;20;76;58
44;33;15;42;76
95;65;95;19;31
16;32;26;52;49
38;39;84;78;91
11;62;83;70;20
80;35;50;89;92
93;62;56;98;40
74;38;52;39;88
74;26;13;37;76
76;56;59;22;29
70;54;94;74;88
92;24;84;14;98
25;87;97;86;61
12;40;60;49;11
60;60;76;45;94
57;72;35;12;69
29;17;21;98;41
80;55;27;19;74
74;56;82;91;12
74;67;19;13;41
54;37;99;81;90
57;45;42;39;57
59;86;69;25;69
90;26;48;82;53
22;62;47;80;58
91;40;54;98;95
34;44;61;53;95
13;52;49;67;68
78;69;19;70;78
25;70;96;16;56
38;92;15;25;71
69;22;25;97;25
33;36;45;23;33
72;41;60;78;41
71;52;61;88;34
81;64;92;96;61
53;97;46;94;11
96;94;52;61;71
75;38;34;67;59
59;57;29;37;62
26;22;62;42;18
58;55;92;90;59
18;19;54;46;94
50;52;52;98;39
71;75;49;46;13
93;95;39;28;36
60;70;72;65;38
86;26;17;37;56
29;91;78;45;20
95;85;89;73;16
12;96;92;80;56
83;61;21;95;83
99;22;34;56;71
16;33;51;100;34
31;49;47;56;57
22;47;92;97;42
66;41;52;91;88
15;80;42;97;39
97;94;30;56;32
33;65;89;15;91
68;16;41;10;70
85;71;60;60;67
81;24;81;15;42
77;74;18;95;70
